цибуля (розсипна);Fresho;69,75;https://www.bigbasket.com/media/uploads/p/l/40075537_5-fresho-onion.jpg;2 кг;1
Цибуля;Fresho;174,35;https://www.bigbasket.com/media/uploads/p/l/1201414_1-fresho-onion.jpg;5 кг;1
цибуля (розсипна);Fresho;34,87;https://www.bigbasket.com/media/uploads/p/l/10000148_30-fresho-onion.jpg;1 кг;1
Цибуля;Fresho;69,74;https://www.bigbasket.com/media/uploads/p/l/1201413_1-fresho-onion.jpg;2 кг;1
цибуля (розсипний);Fresho;174,37;https://www.bigbasket.com/media/uploads/p/l/10000150_19-fresho-onion.jpg;5 кг;1
Фермерські яйця – столовий лоток, середні, без залишків антибіотиків;Fresho;110;https://www.bigbasket.com/media/uploads/p/l/40072320_2-fresho-farm-eggs-table-tray-medium-antibiotic-residue-free.jpg;12 шт;2
Фермерські яйця – столовий лоток, середні, без залишків антибіотиків;Fresho;210;https://www.bigbasket.com/media/uploads/p/l/150502_6-fresho-farm-eggs-table-tray-medium-antibiotic-residue-free.jpg;30 шт;2
Картопля (розсипна);Fresho;50.32;https://www.bigbasket.com/media/uploads/p/l/40048457_9-fresho-potato-new-crop.jpg;1 кг;1
Картопля;Fresho;100,65;https://www.bigbasket.com/media/uploads/p/l/40162469_6-fresho-potato-new-crop.jpg;2 кг;1
Яйця - звичайні;Fresho;250;https://www.bigbasket.com/media/uploads/p/l/1205938_1-fresho-eggs-regular.jpg;5х6 шт;2
Фермерські яйця - звичайні, середні, без залишків антибіотиків;Fresho;50;https://www.bigbasket.com/media/uploads/p/l/281204_9-fresho-farm-eggs-regular-medium-antibiotic-residue-free.jpg;6 шт;2
Яйця - звичайні;Fresho;100;https://www.bigbasket.com/media/uploads/p/l/1203477_2-fresho-eggs-regular.jpg;2х6 шт;2
Яйця - звичайні;Fresho;200;https://www.bigbasket.com/media/uploads/p/l/1205933_1-fresho-eggs-regular.jpg;4х6 шт;2
Atta/Godihittu - цільна пшениця;Aashirvaad;119;https://www.bigbasket.com/media/uploads/p/l/161826_8-aashirvaad-atta-whole-wheat.jpg;2 кг;8
Atta/Godihittu - цільна пшениця;Aashirvaad;301;https://www.bigbasket.com/media/uploads/p/l/126903_9-aashirvaad-atta-whole-wheat.jpg;5 кг;8
Atta/Godihittu - цільна пшениця;Aashirvaad;65;https://www.bigbasket.com/media/uploads/p/l/30006887_7-aashirvaad-atta-whole-wheat.jpg;1 кг;8
Дезінфікуючий засіб Toilet Cleaner Liquid, Original;Harpic;93;https://www.bigbasket.com/media/uploads/p/l/263754_13-harpic-power-plus-disinfectant-toilet-cleaner-liquid-original.jpg;500 мл;5
Дезінфікуюча рідина для миття унітазів - оригінал;Harpic;186;https://www.bigbasket.com/media/uploads/p/l/1200366_7-harpic-original-disinfectant-toilet-cleaner-liquid.jpg;500 мл;5
Дезінфікуючий засіб Toilet Cleaner Liquid, Original;Harpic;195;https://www.bigbasket.com/media/uploads/p/l/298290_11-harpic-power-plus-disinfectant-toilet-cleaner-original.jpg;1 л;5
Дезінфікуюча рідина для миття унітазів - оригінал;Harpic;390;https://www.bigbasket.com/media/uploads/p/l/1200277_10-harpic-disinfectant-toilet-cleaner-liquid-original-kills-999-germs.jpg;1 л;5
Дезінфікуюча рідина для миття унітазів - оригінал;Harpic;585;https://www.bigbasket.com/media/uploads/p/l/1207190_6-harpic-original-disinfectant-toilet-cleaner-liquid.jpg;1 л кожен;5
Дезінфікуючий засіб Toilet Cleaner Liquid, Original;Harpic;40.00;https://www.bigbasket.com/media/uploads/p/l/263737_10-harpic-power-plus-disinfectant-toilet-cleaner-liquid-original.jpg;200 мл;5
Дезінфікуючий засіб Toilet Cleaner Liquid, Original;Harpic;390;https://www.bigbasket.com/media/uploads/p/l/40202555_2-harpic-power-plus-disinfectant-toilet-cleaner.jpg;1 л кожен;5
Томат - гібрид (розсипний);Fresho;26.90;https://www.bigbasket.com/media/uploads/p/l/10000200_17-fresho-tomato-hybrid.jpg;1 кг;1
Томат - гібрид (розсипний);Fresho;13.45;https://www.bigbasket.com/media/uploads/p/l/10000201_15-fresho-tomato-hybrid.jpg;500 г;1
чай;Red Label;40.00;https://www.bigbasket.com/media/uploads/p/l/266616_16-red-label-tea.jpg;100 г;10
чай;Red Label;285;https://www.bigbasket.com/media/uploads/p/l/266569_16-red-label-tea.jpg;500 г;10
чай;Red Label;145;https://www.bigbasket.com/media/uploads/p/l/266575_18-red-label-tea.jpg;250 г;10
чай;Red Label;570;https://www.bigbasket.com/media/uploads/p/l/102871_11-red-label-tea.jpg;1 кг;10
Панір - Premium Fresh;Milky Mist;470;https://www.bigbasket.com/media/uploads/p/l/137575_4-milky-mist-paneer-premium-fresh.jpg;1 кг;3
Панір - Premium Fresh;Milky Mist;224;https://www.bigbasket.com/media/uploads/p/l/1200164_3-milky-mist-paneer-premium-fresh.jpg;2х200 гр;3
Панір - Premium Fresh;Milky Mist;275;https://www.bigbasket.com/media/uploads/p/l/40003150_3-milky-mist-paneer-premium-fresh.jpg;500 г;3
Панір - Premium Fresh;Milky Mist;112;https://www.bigbasket.com/media/uploads/p/l/264679_3-milky-mist-paneer-premium-fresh.jpg;200 г;3
Томат - місцевий (розсипний);Fresho;25,97;https://www.bigbasket.com/media/uploads/p/l/10000203_16-fresho-tomato-local.jpg;1 кг;1
